Word;Translation;Example;Part of speech;Theme;;;;;;;;;;;;;;;;;;;;;
move;двигать(ся);;verb;Movement;;;;;;;;;;;;;;;;;;;;;
stop;останавливать(ся);;verb;Movement2;;;;;;;;;;;;;;;;;;;;;
lift;поднимать;;verb;Movement3;;;;;;;;;;;;;;;;;;;;;
raise;поднимать;;verb;Movement;;;;;;;;;;;;;;;;;;;;;
animal;животное;;Noun;nature;;;;;;;;;;;;;;;;;;;;;
bird;птица;;Noun;nature;;;;;;;;;;;;;;;;;;;;;
fish;рыба;;Noun;nature;;;;;;;;;;;;;;;;;;;;;
flower;цветок;;Noun;nature;;;;;;;;;;;;;;;;;;;;;
just;только что;;;;;;;;;;;;;;;;;;;;;;;;
on the eve;накануне;;;time;;;;;;;;;;;;;;;;;;;;;
once;однажды ;;Adverb;time;;;;;;;;;;;;;;;;;;;;;
before;раньше;;Adverb;;;;;;;;;;;;;;;;;;;;;;
long ago;давно;;Adverb;time;;;;;;;;;;;;;;;;;;;;;